id;category.group.name;category.group.id;category.name;category.id;name;price;tax
1;BEBIDAS;1;CERVEZAS;1;Budweiser;3;10
2;BEBIDAS;1;CERVEZAS;1;Coronita;3;10
3;BEBIDAS;1;CERVEZAS;1;Estrella Damm;2,3;10
4;BEBIDAS;1;CERVEZAS;1;Free Damm;2,3;10
5;BEBIDAS;1;CERVEZAS;1;Guiness;4;10
6;BEBIDAS;1;CERVEZAS;1;Heineken;3;10
7;BEBIDAS;1;CERVEZAS;1;Inedit;3,7;10
8;BEBIDAS;1;CERVEZAS;1;Voll Damm;3;10
9;BEBIDAS;1;REFRESCOS;2;Agua grande;2,5;10
10;BEBIDAS;1;REFRESCOS;2;Agua pequeña;1,3;10
11;BEBIDAS;1;REFRESCOS;2;Aquarius;1,1;10
12;BEBIDAS;1;REFRESCOS;2;Bitter Kas;2,7;10
13;BEBIDAS;1;REFRESCOS;2;Britvic;3,3;10
14;BEBIDAS;1;REFRESCOS;2;Cacaolat;2,6;10
15;BEBIDAS;1;REFRESCOS;2;Coca-Cola;2;10
16;BEBIDAS;1;REFRESCOS;2;Coca-Cola Light;2,7;10
17;BEBIDAS;1;REFRESCOS;2;Coca-Cola Zero;2,7;10
18;BEBIDAS;1;REFRESCOS;2;Nestea;3;10
19;BEBIDAS;1;REFRESCOS;2;Perrier;3,3;10
20;BEBIDAS;1;REFRESCOS;2;Red bull;0;10
21;BEBIDAS;1;REFRESCOS;2;Schweppes Azahar & Lavanda;3,5;10
22;BEBIDAS;1;REFRESCOS;2;Schweppes Heritage;3,5;10
23;BEBIDAS;1;REFRESCOS;2;Schweppes Hibiscus;3,5;10
24;BEBIDAS;1;REFRESCOS;2;Schweppes Limón;2,7;10
25;BEBIDAS;1;REFRESCOS;2;Schweppes Naranja;2,7;10
26;BEBIDAS;1;REFRESCOS;2;Schweppes Pimienta Rosa;3,5;10
27;BEBIDAS;1;REFRESCOS;2;Schweppes Tónica;2,7;10
28;BEBIDAS;1;REFRESCOS;2;Sprite;2,8;10
29;BEBIDAS;1;REFRESCOS;2;Zumo Naranja Natural;2,9;10
30;BEBIDAS;1;VINOS BLANCOS;3;Abadal Blanco;16,9;10
31;BEBIDAS;1;VINOS BLANCOS;3;Abel Mendoza Torrontés 2015;27;10
32;BEBIDAS;1;VINOS BLANCOS;3;Albariño Mar de Frades 2015;29;10
33;BEBIDAS;1;VINOS BLANCOS;3;Bernat Oller Blanc de Picapolls 2014;18,9;10
34;BEBIDAS;1;VINOS BLANCOS;3;Bianca di Valguarnera 2010;59;10
35;BEBIDAS;1;VINOS BLANCOS;3;Château Doisy-Védrines 2009;68;10
36;BEBIDAS;1;VINOS BLANCOS;3;Collbaix Singular Blanc 2011;28;10
37;BEBIDAS;1;VINOS BLANCOS;3;Gramona Mas Escorpí 2015;19,9;10
38;BEBIDAS;1;VINOS BLANCOS;3;Petit Bernat Blanc 2015;14,9;10
39;BEBIDAS;1;VINOS BLANCOS;3;Shafer Red Shoulder Chardonnay;127;10
40;BEBIDAS;1;VINOS ROSADOS;4;Abadal Rosado;16,9;10
41;BEBIDAS;1;VINOS ROSADOS;4;Bernat Oller Rosat 2014;14,9;10
42;BEBIDAS;1;VINOS ROSADOS;4;Bonavita Rosato 2015;28,9;10
43;BEBIDAS;1;VINOS ROSADOS;4;Collbaix Rosat 2014;16,9;10
44;BEBIDAS;1;VINOS ROSADOS;4;Comte Lafond Rosé 2013;28,9;10
45;BEBIDAS;1;VINOS ROSADOS;4;Lalomba 2015;22,9;10
46;BEBIDAS;1;VINOS TINTOS;5;Amancio 2012;89,5;10
47;BEBIDAS;1;VINOS TINTOS;5;Arnau Oller;40;10
48;BEBIDAS;1;VINOS TINTOS;5;Bernat Oller;17,9;10
49;BEBIDAS;1;VINOS TINTOS;5;Château Rocheyron 2015;145;10
50;BEBIDAS;1;VINOS TINTOS;5;El Sagal;15,9;10
51;BEBIDAS;1;VINOS TINTOS;5;Gran Resalte 2010;27;10
52;BEBIDAS;1;VINOS TINTOS;5;Hacienda Monasterio 2013;35;10
53;BEBIDAS;1;VINOS TINTOS;5;Lafou 2010;15,9;10
54;BEBIDAS;1;VINOS TINTOS;5;Marqués de Riscal 1914;295;10
55;BEBIDAS;1;VINOS TINTOS;5;Matsu El Pícaro;13,9;10
56;BEBIDAS;1;VINOS TINTOS;5;Matsu El Recio;15,9;10
57;BEBIDAS;1;VINOS TINTOS;5;Matsu El Viejo;49,9;10
58;BEBIDAS;1;VINOS TINTOS;5;Petit Bernat;13,9;10
59;BEBIDAS;1;VINOS TINTOS;5;Petites Estones;15,9;10
60;BEBIDAS;1;VINOS TINTOS;5;PSI 2011;31;10
61;BEBIDAS;1;VINOS TINTOS;5;Robert Mondavi Napa Cabernet Sauvignon;171;10
62;CARTA;2;BURGERS;6;Burger Angus;10,7;10
63;CARTA;2;BURGERS;6;Burger Ibericus;11,8;10
64;CARTA;2;BURGERS;6;Burger Japonesa;13;10
65;CARTA;2;BURGERS;6;Burger Maya;11,7;10
66;CARTA;2;BURGERS;6;Burger Monster;11,5;10
67;CARTA;2;BURGERS;6;Burger Occitana;13;10
68;CARTA;2;BURGERS;6;Burger Shark;11;10
69;CARTA;2;BURGERS;6;Burger Vegeteriana;9,1;10
70;CARTA;2;BURGERS;6;Hamburguesa Queso;15;10
71;CARTA;2;ENSALADAS;7;Ensalada Americana;15;10
72;CARTA;2;ENSALADAS;7;Ensalada Cítrica;9,75;10
73;CARTA;2;ENSALADAS;7;Ensalada de Foie;10,5;10
74;CARTA;2;ENSALADAS;7;Ensalada de la Huerta;12;10
75;CARTA;2;ENSALADAS;7;Ensalada de Quinoa;12,3;10
76;CARTA;2;ENSALADAS;7;Ensalada El Eden;18;10
77;CARTA;2;ENSALADAS;7;Ensalada El Gordo;12;10
78;CARTA;2;ENSALADAS;7;Ensalada Escua;15;10
79;CARTA;2;ENSALADAS;7;Ensalada Japonesa;15;10
80;CARTA;2;ENSALADAS;7;Ensalada Prueba;15;10
81;CARTA;2;ENSALADAS;7;Ensalada prueba;20;10
82;CARTA;2;ENSALADAS;7;Ensalada Queso de Cabra;9,25;10
83;CARTA;2;ENSALADAS;7;Ensalada Vaquena;12;10
84;CARTA;2;ENSALADAS;7;Ensalada Verde;10;10
85;CARTA;2;ENSALADAS;7;Ensalada Viñuela;25;10
86;CARTA;2;ENSALADAS;7;Poke Salmón;12,2;10
87;CARTA;2;ENSALADAS;7;Prueba Peso;1;10
88;CARTA;2;ENSALADAS;7;PruebaKit;0,05;10
89;CARTA;2;ENTRANTES;8;Almejas plancha;10,03;10
90;CARTA;2;ENTRANTES;8;Calamares a la andaluza;4,7;10
91;CARTA;2;ENTRANTES;8;Carpaccio;9,5;4
92;CARTA;2;ENTRANTES;8;Chipirones rebozados;9,7;10
93;CARTA;2;ENTRANTES;8;Croquetas artesanas;8,4;10
94;CARTA;2;ENTRANTES;8;Fingers de Pollo;8,5;10
95;CARTA;2;ENTRANTES;8;Foie Mi Cuit;10,7;10
96;CARTA;2;ENTRANTES;8;Gambitas fritas;7,2;10
97;CARTA;2;ENTRANTES;8;Huevos Estrellados;8,7;10
98;CARTA;2;ENTRANTES;8;Hummus;8,7;10
99;CARTA;2;ENTRANTES;8;Nigiri Salmón;18;10
100;CARTA;2;ENTRANTES;8;Patatas Bravas;5;10
101;CARTA;2;ENTRANTES;8;Provolone Fundido;9,1;10
102;CARTA;2;ENTRANTES;8;Pulpo a la Gallega;8,7;10
103;CARTA;2;ENTRANTES;8;Ración Jamón Ibérico;12,7;10
104;CARTA;2;ENTRANTES;8;Tabla de Quesos;12,7;10
105;CARTA;2;ENTRANTES;8;Tataki de Atún;12,7;10
106;CARTA;2;ENTRANTES;8;Twistters de Langostinos;8,42;10
107;CARTA;2;MENÚS;9;Menú Diario;12,5;10
108;CARTA;2;POSTRES;10;Brownie;5,45;10
109;CARTA;2;POSTRES;10;Carrot Cake;5,25;10
110;CARTA;2;POSTRES;10;Crepes ;5;10
111;CARTA;2;POSTRES;10;Cronut;4;10
112;CARTA;2;POSTRES;10;Ensalada de frutas;4,95;10
113;CARTA;2;POSTRES;10;Espuma de Crema Catalana;5,1;10
114;CARTA;2;POSTRES;10;Helado;5;10
115;CARTA;2;POSTRES;10;Macarons;5,5;10
116;CARTA;2;POSTRES;10;Nuestra Copa de Tiramisú;4,8;10
117;CARTA;2;POSTRES;10;Nuestro Cheesecake;4,8;10
118;CARTA;2;POSTRES;10;Oreo Cheescake;4,8;10
119;CARTA;2;POSTRES;10;Pudín de banana y chía;5,6;10
120;CARTA;2;POSTRES;10;Raspberry Charlotte;5,75;10
121;CARTA;2;POSTRES;10;Sorbete de Cítricos;4,5;10
122;CARTA;2;POSTRES;10;Texturas de Chocolate;5;10
123;CARTA;2;POSTRES;10;Yogur Artesano;3,8;10